val_loss,val_mle,step,epoch,mle,loss
7776.0458984375,151.85076904296875,3406,0,,
,,3406,0,154.42994689941406,8042.1796875
7146.56201171875,145.55259704589844,6813,1,,
,,6813,1,148.98239135742188,7486.873046875
6499.02294921875,138.78103637695312,10220,2,,
,,10220,2,142.44488525390625,6847.27880859375
5891.54150390625,132.09786987304688,13627,3,,
,,13627,3,135.57550048828125,6206.47216796875
5156.87646484375,123.49269104003906,17034,4,,
,,17034,4,128.3248291015625,5564.81201171875
4535.72265625,115.77632904052734,20441,5,,
,,20441,5,120.6418685913086,4923.732421875
4034.00830078125,109.10950469970703,23848,6,,
,,23848,6,112.5275650024414,4289.984375
3314.379638671875,98.76197814941406,27255,7,,
,,27255,7,104.00785064697266,3672.041259765625
2828.567626953125,91.16260528564453,30662,8,,
,,30662,8,95.11264038085938,3078.882568359375
2134.866943359375,78.89439392089844,34069,9,,
,,34069,9,85.68539428710938,2509.194580078125
1719.921142578125,70.67410278320312,37476,10,,
,,37476,10,75.20174407958984,1946.5377197265625
1337.573486328125,61.98538589477539,40883,11,,
,,40883,11,64.67308044433594,1453.3746337890625
627.9774169921875,41.396751403808594,44290,12,,
,,44290,12,53.90263366699219,1025.218505859375
554.171142578125,38.92781448364258,47697,13,,
,,47697,13,43.09364700317383,673.428466796875
296.6705017089844,27.265111923217773,51104,14,,
,,51104,14,32.68714904785156,407.6023864746094
184.82867431640625,20.612293243408203,54511,15,,
,,54511,15,23.7486629486084,235.11509704589844
133.1891632080078,16.515565872192383,57918,16,,
,,57918,16,18.137592315673828,152.7514190673828
128.03489685058594,16.0698184967041,61325,17,,
,,61325,17,16.207189559936523,129.9390106201172
124.39836120605469,15.649336814880371,64732,18,,
,,64732,18,15.712299346923828,124.71373748779297
121.84058380126953,15.51986312866211,68139,19,,
,,68139,19,15.519465446472168,122.57054138183594
122.21404266357422,15.58990478515625,71546,20,,
,,71546,20,15.411093711853027,121.28900909423828
119.95499420166016,15.271883010864258,74953,21,,
,,74953,21,15.332594871520996,120.35548400878906
120.61866760253906,15.324617385864258,78360,22,,
,,78360,22,15.28177547454834,119.6517105102539
119.15892028808594,15.328142166137695,81767,23,,
,,81767,23,15.225160598754883,118.85899353027344
118.7763900756836,15.197881698608398,85174,24,,
,,85174,24,15.180216789245605,118.2429428100586
120.36652374267578,15.449728012084961,88581,25,,
,,88581,25,15.134442329406738,117.61870574951172
117.03717803955078,15.099044799804688,91988,26,,
,,91988,26,15.0958833694458,117.06403350830078
122.8197021484375,15.52146053314209,95395,27,,
,,95395,27,15.064332962036133,116.5620346069336
115.89373779296875,15.027567863464355,98802,28,,
,,98802,28,15.029271125793457,116.10934448242188
115.4005126953125,14.958675384521484,102209,29,,
,,102209,29,15.00082778930664,115.61132049560547
119.85179901123047,15.46471118927002,105616,30,,
,,105616,30,14.971261024475098,115.19705963134766
114.74021911621094,14.921204566955566,109023,31,,
,,109023,31,14.946431159973145,114.7278823852539
114.24496459960938,14.864105224609375,112430,32,,
,,112430,32,14.917004585266113,114.30281829833984
115.23538208007812,15.021684646606445,115837,33,,
,,115837,33,14.889202117919922,113.91557312011719
113.94532012939453,14.898801803588867,119244,34,,
,,119244,34,14.865644454956055,113.47216033935547
115.57241821289062,15.078779220581055,122651,35,,
,,122651,35,14.838644981384277,113.04341888427734
123.16045379638672,15.953291893005371,126058,36,,
,,126058,36,14.817943572998047,112.66870880126953
113.68755340576172,14.855646133422852,129465,37,,
,,129465,37,14.788888931274414,112.22135925292969
112.05757904052734,14.724485397338867,132872,38,,
,,132872,38,14.771868705749512,111.92911529541016
118.56663513183594,15.477524757385254,136279,39,,
,,136279,39,14.748671531677246,111.52674102783203
119.7558822631836,15.625921249389648,139686,40,,
,,139686,40,14.730484008789062,111.20002746582031
114.70679473876953,14.931011199951172,143093,41,,
,,143093,41,14.709556579589844,110.85228729248047
111.61323547363281,14.753744125366211,146500,42,,
,,146500,42,14.687849044799805,110.55729675292969
118.18756866455078,15.511585235595703,149907,43,,
,,149907,43,14.667665481567383,110.15805053710938
112.72117614746094,14.816640853881836,153314,44,,
,,153314,44,14.647396087646484,109.70941925048828
111.1130599975586,14.745795249938965,156721,45,,
,,156721,45,14.626042366027832,109.38937377929688
112.47040557861328,14.953907012939453,160128,46,,
,,160128,46,14.606975555419922,109.0425033569336
111.26036071777344,14.833276748657227,163535,47,,
,,163535,47,14.585899353027344,108.66381072998047
110.69155883789062,14.703713417053223,166942,48,,
,,166942,48,14.570656776428223,108.34516143798828
111.67649841308594,14.844623565673828,170349,49,,
,,170349,49,14.552964210510254,108.05284881591797
111.14704132080078,14.804682731628418,173756,50,,
,,173756,50,14.532288551330566,107.67544555664062
115.19706726074219,14.96569538116455,177163,51,,
,,177163,51,14.513646125793457,107.35363006591797
109.3358154296875,14.572579383850098,180570,52,,
,,180570,52,14.495304107666016,107.01609802246094
109.19109344482422,14.581805229187012,183977,53,,
,,183977,53,14.478246688842773,106.72586822509766
108.63511657714844,14.539862632751465,187384,54,,
,,187384,54,14.459243774414062,106.41514587402344
109.12977600097656,14.658368110656738,190791,55,,
,,190791,55,14.441693305969238,105.9959945678711
109.78588104248047,14.69849967956543,194198,56,,
,,194198,56,14.41977596282959,105.65806579589844
108.33836364746094,14.651308059692383,197605,57,,
,,197605,57,14.405888557434082,105.37422180175781
108.12748718261719,14.545945167541504,201012,58,,
,,201012,58,14.387431144714355,105.05811309814453
107.51268005371094,14.562613487243652,204419,59,,
,,204419,59,14.37158489227295,104.8010482788086
107.36412048339844,14.525167465209961,207826,60,,
,,207826,60,14.355303764343262,104.36628723144531
107.81689453125,14.571199417114258,211233,61,,
,,211233,61,14.335463523864746,104.06245422363281
107.91690063476562,14.565225601196289,214640,62,,
,,214640,62,14.320423126220703,103.84620666503906
109.16581726074219,14.621561050415039,218047,63,,
,,218047,63,14.301109313964844,103.48487091064453
107.9375228881836,14.669051170349121,221454,64,,
,,221454,64,14.285014152526855,103.18241882324219
106.81464385986328,14.499329566955566,224861,65,,
,,224861,65,14.266400337219238,102.79095458984375
106.84117889404297,14.427613258361816,228268,66,,
,,228268,66,14.250941276550293,102.5472183227539
108.62194061279297,14.762754440307617,231675,67,,
,,231675,67,14.237714767456055,102.29273986816406
106.26435852050781,14.45603084564209,235082,68,,
,,235082,68,14.219012260437012,101.93492889404297
106.6710205078125,14.599910736083984,238489,69,,
,,238489,69,14.203511238098145,101.63095092773438
106.29889678955078,14.450113296508789,241896,70,,
,,241896,70,14.184009552001953,101.35421752929688
105.74774169921875,14.504595756530762,245303,71,,
,,245303,71,14.169951438903809,101.03445434570312
106.3375015258789,14.481851577758789,248710,72,,
,,248710,72,14.149109840393066,100.69329071044922
106.80159759521484,14.466538429260254,252117,73,,
,,252117,73,14.140061378479004,100.44515228271484
105.85169219970703,14.511813163757324,255524,74,,
,,255524,74,14.121020317077637,100.15564727783203
107.9600601196289,14.809401512145996,258931,75,,
,,258931,75,14.104181289672852,99.8882064819336
105.47547149658203,14.515698432922363,262338,76,,
,,262338,76,14.084624290466309,99.545654296875
106.6749038696289,14.537322998046875,265745,77,,
,,265745,77,14.075014114379883,99.35343933105469
105.92389678955078,14.537723541259766,269152,78,,
,,269152,78,14.053825378417969,98.91029357910156
109.92308044433594,15.038981437683105,272559,79,,
,,272559,79,14.042972564697266,98.78119659423828
108.53239440917969,14.858859062194824,275966,80,,
,,275966,80,14.026273727416992,98.43705749511719
109.46720123291016,14.75597095489502,279373,81,,
,,279373,81,14.009235382080078,98.17926788330078
103.96636199951172,14.367514610290527,282780,82,,
,,282780,82,13.996193885803223,97.90792846679688
104.31340026855469,14.391096115112305,286187,83,,
,,286187,83,13.97907829284668,97.65294647216797
104.10237884521484,14.406607627868652,289594,84,,
,,289594,84,13.96662425994873,97.43993377685547
104.59599304199219,14.500758171081543,293001,85,,
,,293001,85,13.950090408325195,97.1152114868164
105.45149230957031,14.641091346740723,296408,86,,
,,296408,86,13.933755874633789,96.8184585571289
103.61781311035156,14.409515380859375,299815,87,,
,,299815,87,13.91966438293457,96.59660339355469
103.65274810791016,14.330266952514648,303222,88,,
,,303222,88,13.905243873596191,96.3664779663086
105.08207702636719,14.554286003112793,306629,89,,
,,306629,89,13.891563415527344,96.1207046508789
102.54558563232422,14.295516014099121,310036,90,,
,,310036,90,13.87536907196045,95.78825378417969
106.56494903564453,14.8019437789917,313443,91,,
,,313443,91,13.860397338867188,95.55937957763672
104.07670593261719,14.419320106506348,316850,92,,
,,316850,92,13.847272872924805,95.3017578125
106.04537963867188,14.486525535583496,320257,93,,
,,320257,93,13.831038475036621,95.09314727783203
107.29666137695312,14.773024559020996,323664,94,,
,,323664,94,13.818225860595703,94.85714721679688
101.96454620361328,14.306605339050293,327071,95,,
,,327071,95,13.804699897766113,94.59947204589844
101.9404067993164,14.310851097106934,330478,96,,
,,330478,96,13.791118621826172,94.3580093383789
102.46243286132812,14.315804481506348,333885,97,,
,,333885,97,13.773943901062012,94.10646057128906
107.55050659179688,14.787699699401855,337292,98,,
,,337292,98,13.761653900146484,93.86473846435547
104.55099487304688,14.46503734588623,340699,99,,
,,340699,99,13.748021125793457,93.6907730102539
108.30316162109375,14.79368782043457,344106,100,,
,,344106,100,13.731049537658691,93.41800689697266
114.08960723876953,15.609942436218262,347513,101,,
,,347513,101,13.717251777648926,93.16788482666016
101.76922607421875,14.215391159057617,350920,102,,
,,350920,102,13.708107948303223,92.98672485351562
102.88554382324219,14.48220443725586,354327,103,,
,,354327,103,13.691612243652344,92.66498565673828
106.99182891845703,14.569211959838867,357734,104,,
,,357734,104,13.676409721374512,92.47701263427734
104.67363739013672,14.726729393005371,361141,105,,
,,361141,105,13.664619445800781,92.23739624023438
109.82856750488281,14.832307815551758,364548,106,,
,,364548,106,13.648581504821777,91.9951171875
103.604248046875,14.52047061920166,367955,107,,
,,367955,107,13.635335922241211,91.80477142333984
101.40866088867188,14.37218189239502,371362,108,,
,,371362,108,13.622407913208008,91.57518005371094
100.3161849975586,14.195528984069824,374769,109,,
,,374769,109,13.610595703125,91.39636993408203
102.3470687866211,14.311287879943848,378176,110,,
,,378176,110,13.598880767822266,91.1259765625
101.27064514160156,14.2600679397583,381583,111,,
,,381583,111,13.584580421447754,90.93247985839844
101.22291564941406,14.296603202819824,384990,112,,
,,384990,112,13.570272445678711,90.6953125
101.621826171875,14.286545753479004,388397,113,,
,,388397,113,13.55648136138916,90.52748107910156
102.6545181274414,14.486471176147461,391804,114,,
,,391804,114,13.54475212097168,90.30411529541016
101.08108520507812,14.23608684539795,395211,115,,
,,395211,115,13.532416343688965,90.09716033935547
102.37236785888672,14.31575870513916,398618,116,,
,,398618,116,13.520089149475098,89.91102600097656
103.95960998535156,14.63647174835205,402025,117,,
,,402025,117,13.509507179260254,89.74159240722656
99.18543243408203,14.132981300354004,405432,118,,
,,405432,118,13.496561050415039,89.49884796142578
107.1222152709961,14.787469863891602,408839,119,,
,,408839,119,13.48377513885498,89.36336517333984
103.7916030883789,14.64061164855957,412246,120,,
,,412246,120,13.46965503692627,89.10546112060547
102.37683868408203,14.532075881958008,415653,121,,
,,415653,121,13.459689140319824,88.92352294921875
104.14900207519531,14.536279678344727,419060,122,,
,,419060,122,13.447342872619629,88.74712371826172
100.2609634399414,14.253016471862793,422467,123,,
,,422467,123,13.433902740478516,88.48767852783203
98.48236083984375,14.076963424682617,425874,124,,
,,425874,124,13.416500091552734,88.27315521240234
100.82439422607422,14.256268501281738,429281,125,,
,,429281,125,13.407504081726074,88.16088104248047
100.46781158447266,14.205148696899414,432688,126,,
,,432688,126,13.399664878845215,87.92031860351562
100.6673583984375,14.284709930419922,436095,127,,
,,436095,127,13.380205154418945,87.70413970947266
101.27720642089844,14.309690475463867,439502,128,,
,,439502,128,13.37248706817627,87.56570434570312
99.26383972167969,14.16864013671875,442909,129,,
,,442909,129,13.362105369567871,87.38151550292969
100.87852478027344,14.350132942199707,446316,130,,
,,446316,130,13.345961570739746,87.17526245117188
99.86519622802734,14.161554336547852,449723,131,,
,,449723,131,13.34039306640625,87.0468521118164
99.8283462524414,14.178945541381836,453130,132,,
,,453130,132,13.328031539916992,86.90645599365234
99.36982727050781,14.160195350646973,456537,133,,
,,456537,133,13.315495491027832,86.7205581665039
101.18803405761719,14.369184494018555,459944,134,,
,,459944,134,13.308137893676758,86.5779037475586
106.5458755493164,14.808562278747559,463351,135,,
,,463351,135,13.292104721069336,86.320068359375
99.55579376220703,14.271866798400879,466758,136,,
,,466758,136,13.279159545898438,86.1294937133789
100.46465301513672,14.28704833984375,470165,137,,
,,470165,137,13.267915725708008,85.97463989257812
97.57125854492188,13.998950004577637,473572,138,,
,,473572,138,13.259027481079102,85.82060241699219
99.3492431640625,14.20441722869873,476979,139,,
,,476979,139,13.251813888549805,85.70414733886719
99.04266357421875,14.197257041931152,480386,140,,
,,480386,140,13.236891746520996,85.43534851074219
102.94562530517578,14.708205223083496,483793,141,,
,,483793,141,13.229904174804688,85.34967803955078
107.5250244140625,14.9788818359375,487200,142,,
,,487200,142,13.218244552612305,85.1790771484375
97.85474395751953,14.01294231414795,490607,143,,
,,490607,143,13.208292007446289,85.01742553710938
96.93882751464844,14.023938179016113,494014,144,,
,,494014,144,13.193717956542969,84.80596923828125
97.6147232055664,14.11110782623291,497421,145,,
