val_mle,step,epoch,val_loss,mle,loss
151.8379669189453,3406,0,7774.78466796875,,
,3406,0,,154.4298553466797,8042.19873046875
145.5951690673828,6813,1,7150.763671875,,
,6813,1,,148.9849090576172,7487.18408203125
138.57005310058594,10220,2,6479.759765625,,
,10220,2,,142.455078125,6848.2939453125
132.15748596191406,13627,3,5897.12939453125,,
,13627,3,,135.58575439453125,6207.427734375
123.73189544677734,17034,4,5175.23681640625,,
,17034,4,,128.33665466308594,5565.85400390625
115.86797332763672,20441,5,4543.2568359375,,
,20441,5,,120.65650939941406,4924.9697265625
108.61641693115234,23848,6,3998.066650390625,,
,23848,6,,112.54569244384766,4291.39599609375
98.27527618408203,27255,7,3283.177001953125,,
,27255,7,,104.02775573730469,3673.4921875
91.55443572998047,30662,8,2854.405029296875,,
,30662,8,,95.112548828125,3079.248291015625
78.06482696533203,34069,9,2091.410888671875,,
,34069,9,,85.34896087646484,2491.575439453125
70.16940307617188,37476,10,1697.7852783203125,,
,37476,10,,75.10021209716797,1941.385009765625
60.89476013183594,40883,11,1290.2933349609375,,
,40883,11,,64.66719055175781,1453.0557861328125
46.252418518066406,44290,12,765.6709594726562,,
,44290,12,,53.961822509765625,1027.495361328125
39.64847183227539,47697,13,572.9478149414062,,
,47697,13,,43.127708435058594,674.4374389648438
29.096691131591797,51104,14,329.797607421875,,
,51104,14,,32.72309494018555,408.4238586425781
20.78349494934082,54511,15,187.5167999267578,,
,54511,15,,23.7950496673584,235.90354919433594
16.563472747802734,57918,16,133.82562255859375,,
,57918,16,,18.16692543029785,153.1095733642578
16.201608657836914,61325,17,129.2462158203125,,
,61325,17,,16.21970558166504,130.02650451660156
15.629260063171387,64732,18,124.19418334960938,,
,64732,18,,15.719451904296875,124.71162414550781
15.50513744354248,68139,19,121.82794189453125,,
,68139,19,,15.525883674621582,122.59933471679688
15.585987091064453,71546,20,122.21751403808594,,
,71546,20,,15.419319152832031,121.35385131835938
15.220192909240723,74953,21,119.26344299316406,,
,74953,21,,15.34041976928711,120.39774322509766
15.34424114227295,78360,22,120.31260681152344,,
,78360,22,,15.289331436157227,119.70398712158203
15.420470237731934,81767,23,119.90275573730469,,
,81767,23,,15.234419822692871,118.95113372802734
15.241793632507324,85174,24,119.36624145507812,,
,85174,24,,15.189388275146484,118.36502838134766
15.318490982055664,88581,25,119.2090835571289,,
,88581,25,,15.146303176879883,117.76459503173828
15.089866638183594,91988,26,116.86149597167969,,
,91988,26,,15.109396934509277,117.245361328125
15.332275390625,95395,27,120.44496154785156,,
,95395,27,,15.076568603515625,116.74222564697266
15.030351638793945,98802,28,115.78083801269531,,
,98802,28,,15.045295715332031,116.33207702636719
15.005242347717285,102209,29,115.74730682373047,,
,102209,29,,15.015629768371582,115.86454772949219
15.538603782653809,105616,30,120.79059600830078,,
,105616,30,,14.986620903015137,115.43621063232422
14.953567504882812,109023,31,115.36064910888672,,
,109023,31,,14.962294578552246,114.98265838623047
14.865970611572266,112430,32,114.37982177734375,,
,112430,32,,14.930928230285645,114.56039428710938
15.008861541748047,115837,33,115.18297576904297,,
,115837,33,,14.906249046325684,114.18972778320312
14.94041633605957,119244,34,114.32538604736328,,
,119244,34,,14.881256103515625,113.76800537109375
15.035693168640137,122651,35,115.26143646240234,,
,122651,35,,14.856386184692383,113.3952407836914
15.771739959716797,126058,36,121.63080596923828,,
,126058,36,,14.834403038024902,112.9771499633789
14.842192649841309,129465,37,113.7503433227539,,
,129465,37,,14.806744575500488,112.5761947631836
14.7701997756958,132872,38,112.47676086425781,,
,132872,38,,14.789898872375488,112.26537322998047
15.60161018371582,136279,39,119.97196960449219,,
,136279,39,,14.767902374267578,111.89066314697266
15.582992553710938,139686,40,119.62883758544922,,
,139686,40,,14.750298500061035,111.59518432617188
14.928287506103516,143093,41,114.9992446899414,,
,143093,41,,14.728939056396484,111.21097564697266
14.763192176818848,146500,42,111.75255584716797,,
,146500,42,,14.70501708984375,110.89639282226562
15.281933784484863,149907,43,116.3392562866211,,
,149907,43,,14.68541145324707,110.53963470458984
14.94791030883789,153314,44,114.79655456542969,,
,153314,44,,14.665406227111816,110.11483764648438
14.686378479003906,156721,45,110.81783294677734,,
,156721,45,,14.642847061157227,109.75297546386719
15.043874740600586,160128,46,113.41792297363281,,
,160128,46,,14.625197410583496,109.41839599609375
14.949277877807617,163535,47,112.462646484375,,
,163535,47,,14.604045867919922,109.067138671875
14.642569541931152,166942,48,109.7552261352539,,
,166942,48,,14.589396476745605,108.7652359008789
14.880077362060547,170349,49,112.26248931884766,,
,170349,49,,14.569920539855957,108.42884063720703
14.936470031738281,173756,50,112.02342987060547,,
,173756,50,,14.549213409423828,108.07301330566406
14.803378105163574,177163,51,113.22832489013672,,
,177163,51,,14.52951717376709,107.74341583251953
14.63323974609375,180570,52,110.1671142578125,,
,180570,52,,14.51113224029541,107.3954849243164
14.578556060791016,183977,53,109.74652862548828,,
,183977,53,,14.497330665588379,107.13713073730469
14.591752052307129,187384,54,109.18464660644531,,
,187384,54,,14.47739028930664,106.80326080322266
14.639363288879395,190791,55,109.15638732910156,,
,190791,55,,14.458634376525879,106.3648910522461
14.637630462646484,194198,56,109.89212799072266,,
,194198,56,,14.436516761779785,106.04141998291016
14.667778015136719,197605,57,108.65337371826172,,
,197605,57,,14.423737525939941,105.77544403076172
14.595209121704102,201012,58,108.36827087402344,,
,201012,58,,14.407482147216797,105.48700714111328
14.597549438476562,204419,59,108.00721740722656,,
,204419,59,,14.39093017578125,105.19403839111328
14.51989459991455,207826,60,107.23148345947266,,
