val_acc,step,epoch,val_loss,acc,loss
0.08599474281072617,1330,0,3.694979667663574,,
,1330,0,,0.055848442018032074,3.7447328567504883
0.09834679961204529,2661,1,3.578619956970215,,
,2661,1,,0.1130588948726654,3.460876226425171
0.1132819801568985,3992,2,3.5100460052490234,,
,3992,2,,0.14376291632652283,3.2850372791290283
0.1148788258433342,5323,3,3.4645402431488037,,
,5323,3,,0.1689308136701584,3.156423568725586
0.1271369457244873,6654,4,3.4390289783477783,,
,6654,4,,0.18702447414398193,3.0547404289245605
0.1229100152850151,7985,5,3.41348934173584,,
,7985,5,,0.20569932460784912,2.9631218910217285
0.13432274758815765,9316,6,3.3830628395080566,,
,9316,6,,0.22380471229553223,2.8827948570251465
0.14188428223133087,10647,7,3.334968090057373,,
,10647,7,,0.23957942426204681,2.811509609222412
0.14108584821224213,11978,8,3.352684497833252,,
,11978,8,,0.2568570375442505,2.7456493377685547
0.14803682267665863,13309,9,3.329500675201416,,
,13309,9,,0.2688685953617096,2.6822690963745117
0.14385685324668884,14640,10,3.3702871799468994,,
,14640,10,,0.280416339635849,2.6267714500427246
0.1463460475206375,15971,11,3.38232421875,,
,15971,11,,0.29347875714302063,2.5742757320404053
0.14451436698436737,17302,12,3.3611695766448975,,
,17302,12,,0.30725154280662537,2.522073984146118
0.14719143509864807,18633,13,3.3390252590179443,,
,18633,13,,0.31825920939445496,2.470468521118164
0.15019725263118744,19964,14,3.3149335384368896,,
,19964,14,,0.32894396781921387,2.425363779067993
0.1537666767835617,21295,15,3.3037526607513428,,
,21295,15,,0.3411727547645569,2.3787591457366943
0.15334397554397583,22626,16,3.328604221343994,,
,22626,16,,0.3501549959182739,2.337402820587158
0.15968438982963562,23957,17,3.3319857120513916,,
,23957,17,,0.3608456254005432,2.294280767440796
0.1521698236465454,25288,18,3.3890230655670166,,
,25288,18,,0.3698630928993225,2.2577643394470215
0.14705052971839905,26619,19,3.3726773262023926,,
,26619,19,,0.37960854172706604,2.2193400859832764
0.160670667886734,27950,20,3.349930763244629,,
,27950,20,,0.3881974518299103,2.18204665184021
0.16560210287570953,29281,21,3.317873477935791,,
,29281,21,,0.3981953263282776,2.1456856727600098
0.16846702992916107,30612,22,3.3210573196411133,,
,30612,22,,0.4069133996963501,2.108290672302246
0.15296825766563416,31943,23,3.4395081996917725,,
,31943,23,,0.4132303297519684,2.077202558517456
0.16630659997463226,33274,24,3.3495030403137207,,
,33274,24,,0.42264699935913086,2.0459964275360107
0.16672928631305695,34605,25,3.3373520374298096,,
,34605,25,,0.43098345398902893,2.0154268741607666
0.1558331698179245,35936,26,3.4682223796844482,,
,35936,26,,0.4389794170856476,1.9819773435592651
0.16668231785297394,37267,27,3.398784875869751,,
,37267,27,,0.44695189595222473,1.9552146196365356
0.16982904076576233,38598,28,3.4003312587738037,,
,38598,28,,0.4527052342891693,1.9268299341201782
0.16780950129032135,39929,29,3.409041166305542,,
,39929,29,,0.4605485498905182,1.9011479616165161
0.1658838987350464,41260,30,3.3737051486968994,,
,41260,30,,0.46888503432273865,1.870450735092163
0.1590738296508789,42591,31,3.4513230323791504,,
,42591,31,,0.47635263204574585,1.8424232006072998
0.17692090570926666,43922,32,3.3366951942443848,,
,43922,32,,0.48038583993911743,1.821807861328125
0.172318235039711,45253,33,3.411378860473633,,
,45253,33,,0.48848745226860046,1.7949973344802856
0.15616193413734436,46584,34,3.4082999229431152,,
,46584,34,,0.493119478225708,1.7702127695083618
0.17786023020744324,47915,35,3.370666027069092,,
,47915,35,,0.49974167346954346,1.746880292892456
0.1621735841035843,49246,36,3.527480363845825,,
,49246,36,,0.5069568157196045,1.7236907482147217
0.16099943220615387,50577,37,3.5024595260620117,,
,50577,37,,0.5114009976387024,1.704215168952942
0.1781889945268631,51908,38,3.4680516719818115,,
,51908,38,,0.5180995464324951,1.6784535646438599
0.17809505760669708,53239,39,3.3932712078094482,,
,53239,39,,0.524651288986206,1.655821442604065
0.15991921722888947,54570,40,3.540463447570801,,
,54570,40,,0.5286257863044739,1.635498046875
0.17011083662509918,55901,41,3.4719715118408203,,
,55901,41,,0.5336804986000061,1.6153086423873901
0.17527709901332855,57232,42,3.4662163257598877,,
,57232,42,,0.5395688414573669,1.597461462020874
0.17903438210487366,58563,43,3.4611592292785645,,
,58563,43,,0.5442771911621094,1.576827049255371
0.15940259397029877,59894,44,3.5938596725463867,,
,59894,44,,0.5507115125656128,1.559468150138855
0.16616569459438324,61225,45,3.5613441467285156,,
,61225,45,,0.5573689937591553,1.5360016822814941
0.17941009998321533,62556,46,3.565420389175415,,
,62556,46,,0.5623180270195007,1.5182421207427979
0.1670110821723938,63887,47,3.597912311553955,,
,63887,47,,0.5670028924942017,1.4999679327011108
0.17626339197158813,65218,48,3.5295166969299316,,
,65218,48,,0.5712650418281555,1.481971263885498
0.16780950129032135,66549,49,3.5859172344207764,,
,66549,49,,0.5754156708717346,1.463678002357483
0.18387188017368317,67880,50,3.498337745666504,,
,67880,50,,0.5840867757797241,1.4446346759796143
0.17734360694885254,69211,51,3.5399558544158936,,
,69211,51,,0.5844507217407227,1.4326674938201904
0.16687019169330597,70542,52,3.608815908432007,,
,70542,52,,0.5922412276268005,1.409396767616272
0.16499154269695282,71873,53,3.602797508239746,,
,71873,53,,0.5954349040985107,1.3946139812469482
0.18819275498390198,73204,54,3.5112802982330322,,
,73204,54,,0.5997557640075684,1.380223274230957
0.1791752725839615,74535,55,3.5464603900909424,,
,74535,55,,0.6046285033226013,1.3661229610443115
0.1713319569826126,75866,56,3.661237955093384,,
