val_loss,epoch,step,val_acc,acc,loss
3.5894768238067627,0,1330,0.08904752880334854,,
,0,1330,,0.08560726791620255,3.573632001876831
3.516813039779663,1,2661,0.1068946048617363,,
,1,2661,,0.17348651587963104,3.1102945804595947
3.488741397857666,2,3992,0.11285928636789322,,
,2,3992,,0.22402192652225494,2.8704049587249756
3.4904768466949463,3,5323,0.11346984654664993,,
,3,5323,,0.26360252499580383,2.699388027191162
3.5298619270324707,4,6654,0.11746195703744888,,
,4,6654,,0.29932016134262085,2.5534346103668213
3.5206379890441895,5,7985,0.12652640044689178,,
,5,7985,,0.3274175822734833,2.4325172901153564
3.5157694816589355,6,9316,0.12901559472084045,,
,6,9316,,0.35429972410202026,2.327979326248169
3.4587862491607666,7,10647,0.14427953958511353,,
,7,10647,,0.37987858057022095,2.227626323699951
3.5448696613311768,8,11978,0.13854968547821045,,
,8,11978,,0.4015064239501953,2.1361804008483887
3.4822816848754883,9,13309,0.15780575573444366,,
,9,13309,,0.4242144823074341,2.052931308746338
3.5931060314178467,10,14640,0.14587639272212982,,
,10,14640,,0.44365254044532776,1.9739795923233032
3.4722323417663574,11,15971,0.15841630101203918,,
,11,15971,,0.46348392963409424,1.8985633850097656
3.5906267166137695,12,17302,0.15818147361278534,,
,12,17302,,0.4826284646987915,1.8290157318115234
3.63931941986084,13,18633,0.13577869534492493,,
,13,18633,,0.5002289414405823,1.7621115446090698
3.587470531463623,14,19964,0.15597407519817352,,
,14,19964,,0.5176650881767273,1.70033597946167
3.620140552520752,15,21295,0.15836934745311737,,
,15,21295,,0.5344848036766052,1.6377123594284058
3.653792381286621,16,22626,0.1601070761680603,,
,16,22626,,0.5495843291282654,1.5841068029403687
3.610767126083374,17,23957,0.1665414273738861,,
,17,23957,,0.5634627938270569,1.526046633720398
3.701651096343994,18,25288,0.15301521122455597,,
,18,25288,,0.5808695554733276,1.4706814289093018
3.6520979404449463,19,26619,0.1691245585680008,,
,19,26619,,0.5926638841629028,1.4256982803344727
3.697371244430542,20,27950,0.16297200322151184,,
,20,27950,,0.6076225638389587,1.3694651126861572
3.858304023742676,21,29281,0.15512868762016296,,
,21,29281,,0.6203386187553406,1.3283870220184326
3.8254127502441406,22,30612,0.15869809687137604,,
,22,30612,,0.6342111825942993,1.281601905822754
3.9051437377929688,23,31943,0.15541048347949982,,
,23,31943,,0.6430056095123291,1.241990327835083
3.8901758193969727,24,33274,0.15714822709560394,,
,24,33274,,0.6577470302581787,1.1985403299331665
3.8291544914245605,25,34605,0.16052977740764618,,
,25,34605,,0.6692361235618591,1.1596275568008423
3.8872857093811035,26,35936,0.15869809687137604,,
,26,35936,,0.6785882115364075,1.1202696561813354
3.92604398727417,27,37267,0.15865114331245422,,
,27,37267,,0.6889559626579285,1.0859023332595825
3.949178695678711,28,38598,0.16367650032043457,,
,28,38598,,0.7007033228874207,1.0453464984893799
3.993725538253784,29,39929,0.15503475069999695,,
,29,39929,,0.7087990641593933,1.012929916381836
4.037820339202881,30,41260,0.15728911757469177,,
,30,41260,,0.7182803153991699,0.9807646870613098
4.0275349617004395,31,42591,0.16142213344573975,,
,31,42591,,0.7268927097320557,0.951781153678894
3.98400616645813,32,43922,0.1578996777534485,,
,32,43922,,0.7381762862205505,0.9163779616355896
4.0764288902282715,33,45253,0.1595434844493866,,
,33,45253,,0.7459257245063782,0.8894802331924438
4.048637390136719,34,46584,0.16146910190582275,,
,34,46584,,0.7540097236633301,0.8605879545211792
4.200959205627441,35,47915,0.15353184938430786,,
,35,47915,,0.7631093859672546,0.8278583288192749
4.217277526855469,36,49246,0.16527333855628967,,
,36,49246,,0.770929217338562,0.8031549453735352
4.396209716796875,37,50577,0.14085102081298828,,
,37,50577,,0.7778332233428955,0.7780780792236328
4.197200298309326,38,51908,0.16719894111156464,,
,38,51908,,0.7830288410186768,0.7575181126594543
4.243033409118652,39,53239,0.15761788189411163,,
,39,53239,,0.7907195091247559,0.7328852415084839
4.34568452835083,40,54570,0.1541893631219864,,
,40,54570,,0.7991675138473511,0.7049437165260315
4.366212368011475,41,55901,0.15541048347949982,,
,41,55901,,0.807051956653595,0.6816070675849915
4.4665069580078125,42,57232,0.15658463537693024,,
,42,57232,,0.8113317489624023,0.6628353595733643
4.54911994934082,43,58563,0.14991545677185059,,
,43,58563,,0.8176956176757812,0.6396381258964539
4.437921047210693,44,59894,0.15447115898132324,,
,44,59894,,0.8234665393829346,0.6206874847412109
4.498378276824951,45,61225,0.15226376056671143,,
,45,61225,,0.8281455636024475,0.6048828959465027
4.453311443328857,46,62556,0.16203269362449646,,
,46,62556,,0.8350378274917603,0.5822164416313171
4.476492404937744,47,63887,0.15343791246414185,,
,47,63887,,0.8413841128349304,0.5634801983833313
4.515393257141113,48,65218,0.16503851115703583,,
,48,65218,,0.8456814885139465,0.5440346002578735
4.6424150466918945,49,66549,0.15019725263118744,,
,49,66549,,0.8501960635185242,0.530597984790802
4.5926923751831055,50,67880,0.15202893316745758,,
,50,67880,,0.8546695709228516,0.5151035189628601
4.649351119995117,51,69211,0.15343791246414185,,
,51,69211,,0.8595834374427795,0.4989742636680603
4.684126853942871,52,70542,0.15080781280994415,,
,52,70542,,0.8632643818855286,0.48198676109313965
4.604796886444092,53,71873,0.1563967615365982,,
,53,71873,,0.8673445582389832,0.46913811564445496
4.728692054748535,54,73204,0.1493988335132599,,
,54,73204,,0.873091995716095,0.45287686586380005
