step,epoch,val_acc,val_loss,loss,acc
1330,0,0.08984594792127609,3.588853120803833,,
1330,0,,,3.5734760761260986,0.08551333844661713
2661,1,0.10680067539215088,3.5172300338745117,,
2661,1,,,3.109419345855713,0.17353935539722443
3992,2,0.1133289486169815,3.4878666400909424,,
3992,2,,,2.8697562217712402,0.22433307766914368
5323,3,0.11285928636789322,3.494338035583496,,
5323,3,,,2.698761463165283,0.2642952799797058
6654,4,0.11811947822570801,3.5323269367218018,,
6654,4,,,2.553361177444458,0.2996489405632019
7985,5,0.12591584026813507,3.519334316253662,,
7985,5,,,2.432586193084717,0.32703009247779846
9316,6,0.13098816573619843,3.4974374771118164,,
9316,6,,,2.3281970024108887,0.35422930121421814
10647,7,0.14291752874851227,3.4612157344818115,,
10647,7,,,2.2285525798797607,0.3800899386405945
11978,8,0.13911327719688416,3.5437569618225098,,
11978,8,,,2.1376380920410156,0.4014359712600708
13309,9,0.15705429017543793,3.4846038818359375,,
13309,9,,,2.054076671600342,0.4244728088378906
14640,10,0.14747323095798492,3.590095043182373,,
14640,10,,,1.9755666255950928,0.44342947006225586
15971,11,0.1584632694721222,3.4877779483795166,,
15971,11,,,1.8997023105621338,0.4631434381008148
17302,12,0.16160999238491058,3.5708565711975098,,
17302,12,,,1.8305751085281372,0.4822409749031067
18633,13,0.13469848036766052,3.637615203857422,,
18633,13,,,1.7639470100402832,0.4994129240512848
19964,14,0.15503475069999695,3.5842905044555664,,
19964,14,,,1.702446699142456,0.5167140364646912
21295,15,0.15545745193958282,3.632988214492798,,
21295,15,,,1.6389131546020508,0.5330464243888855
22626,16,0.15930865705013275,3.6589818000793457,,
22626,16,,,1.5855592489242554,0.5484747886657715
23957,17,0.1670110821723938,3.6116080284118652,,
23957,17,,,1.528251051902771,0.5631516575813293
25288,18,0.15179410576820374,3.7015163898468018,,
25288,18,,,1.4714689254760742,0.5803881883621216
26619,19,0.1665414273738861,3.656839370727539,,
26619,19,,,1.4288958311080933,0.5911023020744324
27950,20,0.1616569608449936,3.696331739425659,,
27950,20,,,1.3712736368179321,0.6068652272224426
29281,21,0.15310914814472198,3.8463778495788574,,
29281,21,,,1.3298864364624023,0.6185950040817261
30612,22,0.15724216401576996,3.8483643531799316,,
30612,22,,,1.2822843790054321,0.6329842209815979
31943,23,0.1542833000421524,3.9345877170562744,,
31943,23,,,1.2433724403381348,0.6431053876876831
33274,24,0.15757091343402863,3.890151262283325,,
33274,24,,,1.2008048295974731,0.6564026474952698
34605,25,0.16043584048748016,3.8269104957580566,,
34605,25,,,1.1616199016571045,0.6681147813796997
35936,26,0.1575239598751068,3.8994150161743164,,
35936,26,,,1.122148871421814,0.6773611903190613
37267,27,0.15949653089046478,3.9254708290100098,,
37267,27,,,1.0886489152908325,0.6877993941307068
38598,28,0.16635355353355408,3.921677589416504,,
38598,28,,,1.0470980405807495,0.6996054649353027
39929,29,0.153203085064888,4.009841442108154,,
39929,29,,,1.0150824785232544,0.7087051272392273
41260,30,0.15944956243038177,4.006761074066162,,
41260,30,,,0.981852114200592,0.7193077206611633
42591,31,0.1622205525636673,4.0430707931518555,,
42591,31,,,0.9539036750793457,0.725677490234375
43922,32,0.1547999233007431,4.0279364585876465,,
43922,32,,,0.9182555079460144,0.7375598549842834
45253,33,0.15569227933883667,4.070154190063477,,
45253,33,,,0.8922261595726013,0.7441644668579102
46584,34,0.16038887202739716,4.074450969696045,,
46584,34,,,0.8620138168334961,0.7539392709732056
47915,35,0.15310914814472198,4.200544834136963,,
47915,35,,,0.8307495713233948,0.7630096077919006
49246,36,0.164897620677948,4.216900825500488,,
49246,36,,,0.8064268827438354,0.7686983346939087
50577,37,0.13840879499912262,4.410268306732178,,
50577,37,,,0.779301106929779,0.7767530083656311
51908,38,0.1659778356552124,4.181911468505859,,
51908,38,,,0.7589795589447021,0.7830875515937805
53239,39,0.15977832674980164,4.23295783996582,,
53239,39,,,0.7338832020759583,0.7907723784446716
54570,40,0.15555137395858765,4.335779190063477,,
