val_loss,step,epoch,val_acc,loss,acc
3.814464569091797,1330,0,0.06068006902933121,,
,1330,0,,3.853900194168091,0.030733374878764153
3.6636903285980225,2661,1,0.08716888725757599,,
,2661,1,,3.727843761444092,0.05381716042757034
3.4978930950164795,3992,2,0.10835055261850357,,
,3992,2,,3.5922510623931885,0.07792245596647263
3.289750576019287,5323,3,0.1388784497976303,,
,5323,3,,3.4032936096191406,0.11044640839099884
3.127408742904663,6654,4,0.16264323890209198,,
,6654,4,,3.1863486766815186,0.14585290849208832
3.0056099891662598,7985,5,0.18584445118904114,,
,7985,5,,3.0170512199401855,0.17706768214702606
2.8716654777526855,9316,6,0.21998873353004456,,
,9316,6,,2.8492989540100098,0.2086992710828781
2.7950692176818848,10647,7,0.23797670006752014,,
,10647,7,,2.704986810684204,0.23817631602287292
2.7207982540130615,11978,8,0.2516438066959381,,
,11978,8,,2.5892717838287354,0.2631387412548065
2.675845146179199,13309,9,0.2686924636363983,,
,13309,9,,2.484954833984375,0.28740254044532776
2.604142189025879,14640,10,0.28602293133735657,,
,14640,10,,2.3883581161499023,0.30883076786994934
2.5852789878845215,15971,11,0.28700920939445496,,
,15971,11,,2.2989206314086914,0.3313862085342407
2.5663580894470215,17302,12,0.29499343037605286,,
,17302,12,,2.214205741882324,0.35165202617645264
2.514364719390869,18633,13,0.306500107049942,,
,18633,13,,2.1332693099975586,0.3737788796424866
2.4765868186950684,19964,14,0.31983843445777893,,
,19964,14,,2.0580291748046875,0.3937394320964813
2.4836864471435547,21295,15,0.3217170834541321,,
,21295,15,,1.9865398406982422,0.41095247864723206
2.442910671234131,22626,16,0.3382960855960846,,
,22626,16,,1.9160053730010986,0.4314766228199005
2.417375326156616,23957,17,0.34022167325019836,,
,23957,17,,1.8545262813568115,0.4480438530445099
2.4379539489746094,25288,18,0.33918842673301697,,
,25288,18,,1.7943735122680664,0.4645289182662964
2.4007086753845215,26619,19,0.3531373143196106,,
,26619,19,,1.7324249744415283,0.48100224137306213
2.37665057182312,27950,20,0.36619386076927185,,
,27950,20,,1.6771750450134277,0.4983092248439789
2.387580633163452,29281,21,0.36896488070487976,,
,29281,21,,1.622261881828308,0.5142717957496643
2.3911190032958984,30612,22,0.36295321583747864,,
,30612,22,,1.5692753791809082,0.5288371443748474
2.4171788692474365,31943,23,0.36051100492477417,,
,31943,23,,1.5248703956604004,0.541905403137207
2.383676528930664,33274,24,0.3783110976219177,,
,33274,24,,1.4799998998641968,0.5530774593353271
2.4042739868164062,34605,25,0.37370842695236206,,
,34605,25,,1.436738133430481,0.5683942437171936
2.395052909851074,35936,26,0.3761976361274719,,
,35936,26,,1.3865611553192139,0.5818323493003845
2.387340784072876,37267,27,0.3857317268848419,,
,37267,27,,1.345895767211914,0.5949476361274719
2.3796746730804443,38598,28,0.3834303915500641,,
,38598,28,,1.3092613220214844,0.6047576665878296
2.4144585132598877,39929,29,0.3825850188732147,,
,39929,29,,1.2710646390914917,0.6150901913642883
2.412431240081787,41260,30,0.3882209360599518,,
,41260,30,,1.2346993684768677,0.6268903613090515
2.431753158569336,42591,31,0.3831016421318054,,
,42591,31,,1.2012743949890137,0.635796308517456
2.424025535583496,43922,32,0.3921660780906677,,
,43922,32,,1.1607933044433594,0.6487647891044617
2.4570260047912598,45253,33,0.38488635420799255,,
,45253,33,,1.1271798610687256,0.6575415730476379
2.413318395614624,46584,34,0.3930114507675171,,
,46584,34,,1.0963149070739746,0.666899561882019
2.401869535446167,47915,35,0.3952658176422119,,
,47915,35,,1.0665966272354126,0.6777134537696838
2.4781179428100586,49246,36,0.3973793089389801,,
,49246,36,,1.0351786613464355,0.6854393482208252
2.471606731414795,50577,37,0.3909919261932373,,
,50577,37,,1.0036497116088867,0.696053683757782
2.481515645980835,51908,38,0.3962990939617157,,
,51908,38,,0.9754751324653625,0.7042198777198792
2.4663543701171875,53239,39,0.3972384035587311,,
,53239,39,,0.9465213418006897,0.7120456099510193
2.506589651107788,54570,40,0.395735502243042,,
,54570,40,,0.9238220453262329,0.7205464243888855
2.489144802093506,55901,41,0.4006199538707733,,
,55901,41,,0.8925274014472961,0.7291118502616882
2.5508017539978027,57232,42,0.3962521255016327,,
,57232,42,,0.8687852621078491,0.7368847727775574
2.5860674381256104,58563,43,0.39272966980934143,,
,58563,43,,0.844384491443634,0.7432427406311035
2.570845127105713,59894,44,0.3929644823074341,,
,59894,44,,0.8234148025512695,0.7492191791534424
2.5887701511383057,61225,45,0.39334022998809814,,
,61225,45,,0.7968659996986389,0.7569450736045837
2.602604627609253,62556,46,0.3936220109462738,,
,62556,46,,0.7740823030471802,0.7645770907402039
2.6000149250030518,63887,47,0.400948703289032,,
,63887,47,,0.7519506216049194,0.7716278433799744
2.6914138793945312,65218,48,0.39277663826942444,,
,65218,48,,0.7308878898620605,0.7771463394165039
2.6120238304138184,66549,49,0.4058331847190857,,
,66549,49,,0.7108503580093384,0.7837979197502136
2.735388994216919,67880,50,0.3978489637374878,,
,67880,50,,0.6907853484153748,0.7898154258728027
2.6837158203125,69211,51,0.3962990939617157,,
,69211,51,,0.6734157800674438,0.7950755953788757
2.7053873538970947,70542,52,0.3989291787147522,,
,70542,52,,0.6552098393440247,0.7998485565185547
2.7147183418273926,71873,53,0.39489009976387024,,
,71873,53,,0.6370642185211182,0.8062241673469543
2.785130262374878,73204,54,0.3979898691177368,,
,73204,54,,0.617033064365387,0.8111203908920288
2.8103461265563965,74535,55,0.3993988335132599,,
,74535,55,,0.6027088165283203,0.8167269229888916
